,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
6cr6UDpkjEaMQ80OjWqEBQ,0.0632,0.73,0.868,0.0661,5,-7.325,0.0288,148.217,0.923
1zGk1kgAxCpg6PHjGuLe4J,0.0192,0.543,0.715,0.0,2,-8.89,0.0356,124.011,0.468
5uvosCdMlFdTXhoazkTI5R,0.369,0.413,0.725,2.16e-05,3,-5.787,0.0324,124.618,0.44
3D1Xnj2Q7oh7Vz3RH9fDvC,0.252,0.21,0.346,0.336,4,-12.069,0.0299,79.026,0.22
3RZMzCvYsmJ0u2ioKTOsmJ,0.381,0.562,0.768,0.03,7,-6.613,0.0606,119.544,0.966
2EoOZnxNgtmZaD8uUmz2nD,0.000203,0.354,0.825,6.95e-05,6,-5.325,0.0406,105.495,0.16
3x2bXiU0o4WbsPkawXlfDA,0.265,0.651,0.661,0.00313,9,-11.405,0.0511,156.371,0.489
1Q5kgpp4pmyGqPwNBzkSrw,0.337,0.612,0.634,4.6e-05,9,-8.212,0.0319,121.059,0.904
4uGIJG1jYFonGc4LGp5uQL,0.408,0.504,0.578,0.0,4,-9.302,0.031,132.411,0.654
5qBqBdfTEIWJwAS0Jm2F5R,0.135,0.452,0.818,2.72e-05,2,-8.124,0.0439,124.474,0.755
3gLlcZQMvpwgtV9THHXrGp,0.0206,0.432,0.88,0.000191,1,-5.769,0.0656,95.59,0.527
7iLGljK0LNpGamQQEOuCRC,0.301,0.686,0.92,0.27,2,-6.231,0.0566,135.027,0.225
3sY6z4pGcxpMwx3W026WtU,0.000989,0.421,0.677,9.65e-05,4,-6.183,0.0343,127.67,0.683
0ZGLuduCPjgWY1n85ykgMe,0.00578,0.426,0.903,0.00945,1,-9.661,0.0389,122.201,0.762
7IhkWF9zpiYKlU7CxHxYT9,0.25,0.766,0.446,0.000704,2,-13.079,0.0867,119.774,0.743
11dCfArPrM7kzYpUrFHal9,0.00135,0.515,0.987,0.000195,8,-5.391,0.108,141.258,0.298
0wz1LjDb9ZNEYwOmDJ3Q4b,0.661,0.55,0.854,0.0,3,-5.968,0.036,159.231,0.965
78lgmZwycJ3nzsdgmPPGNx,0.013,0.564,0.932,0.169,11,-10.068,0.0554,112.937,0.619
5UwbnHhjnbinJH8TefuQfN,0.411,0.757,0.868,0.00221,9,-9.326,0.062,138.923,0.815
75wP08AtMfGfjk0nPdvVw3,0.00072,0.467,0.955,0.426,9,-6.043,0.0462,169.776,0.68
0vSiz90JRxvYsbCTx84oVM,0.296,0.644,0.823,0.00115,9,-8.092,0.0578,133.39,0.917
657HzPo7RbwpUGhBS3SF4Q,0.156,0.535,0.372,0.0,9,-10.029,0.0352,78.856,0.266
21YxK0klhpfLW8budkJaMF,0.0276,0.383,0.97,0.0,9,-5.638,0.0435,101.603,0.62
6HSXNV0b4M4cLJ7ljgVVeh,0.251,0.513,0.396,0.177,7,-13.061,0.0299,140.208,0.229
2aSFLiDPreOVP6KHiWk4lF,0.524,0.663,0.712,0.0,2,-7.268,0.0479,113.439,0.527
3L60Vu9qmY6fg2QroRIxgi,0.515,0.474,0.418,0.000342,0,-9.654,0.03,83.18,0.504
5jzma6gCzYtKB1DbEwFZKH,0.123,0.651,0.801,0.0,0,-7.34,0.0513,133.763,0.776
5eU8qMd0TpaLqTGDZJaLDs,0.0713,0.801,0.723,0.154,10,-4.985,0.0689,109.03,0.883
263aNAQCeFSWipk896byo6,0.000972,0.526,0.762,0.000116,0,-12.437,0.0342,136.203,0.505
4cCQ0wBIc9YHhvOWvWNj7S,0.0145,0.427,0.665,0.00242,2,-8.515,0.0405,142.702,0.442
3PGAgwFWnFCisvjb3rLyuh,0.0891,0.482,0.883,0.00422,4,-3.348,0.0754,80.687,0.594
6hTcuIQa0sxrrByu9wTD7s,0.00501,0.27,0.944,2.05e-05,4,-4.199,0.0975,146.347,0.606
1HOMkjp0nHMaTnfAkslCQj,0.0589,0.586,0.7,0.00125,0,-9.558,0.0363,147.245,0.897
1fDsrQ23eTAVFElUMaf38X,0.699,0.531,0.481,0.0,4,-11.709,0.06,138.45,0.491
6Qg7cgN1oZ5mG5nZe9UG0X,0.229,0.399,0.518,0.00122,7,-10.637,0.0318,127.084,0.285
1IqFh00G2kvvMm8pRMpehA,0.302,0.453,0.464,5.96e-05,2,-10.96,0.0431,93.19,0.658
2d4e45fmUnguxh6yqC7gNT,0.214,0.668,0.906,0.00229,11,-4.881,0.17,135.653,0.507
5e6x5YRnMJIKvYpZxLqdpH,0.0648,0.636,0.746,0.29,0,-3.785,0.0393,132.31,0.432
4D01oA1mGouaAT7fubvKRT,0.000212,0.49,0.827,0.00406,8,-9.481,0.0482,108.577,0.626
62nQ8UZVqR2RMvkJHkcO2o,0.0404,0.285,0.846,0.0,2,-6.472,0.0438,108.808,0.287
17S4XrLvF5jlGvGCJHgF51,0.206,0.651,0.766,0.00103,0,-9.935,0.0299,116.74,0.949
4gvea7UlDkAvsJBPZAd4oB,0.546,0.522,0.559,0.00565,6,-13.641,0.0387,176.894,0.908
61Q9oJNd9hJQFhSDh6Qlap,0.00118,0.324,0.551,0.0779,9,-7.269,0.0312,116.997,0.339
73HSIWZlSCfs4tqVkrGv7H,0.000416,0.31,0.874,0.712,1,-11.889,0.152,131.717,0.096
39shmbIHICJ2Wxnk1fPSdz,0.079,0.742,0.833,0.0,2,-6.463,0.115,113.375,0.816
32kgOw8wejH7zUhtXCM8DH,0.000894,0.377,0.682,0.00217,7,-8.039,0.0299,108.736,0.288
4KfSdst7rW39C0sfhArdrz,0.015,0.547,0.691,0.105,4,-13.553,0.0369,137.148,0.667
2PzU4IB8Dr6mxV3lHuaG34,0.0348,0.725,0.853,0.127,2,-7.842,0.0353,136.282,0.904
4nuUssdgKFy2QyYHHNkZQW,0.415,0.541,0.946,0.000389,6,-7.459,0.058,101.169,0.728
1lhpxZT57yw5toGJtt8fGE,0.219,0.713,0.931,0.0,6,-2.965,0.0394,124.127,0.963
1Ly0ssAgeM7YqdHptao8Oe,8.44e-05,0.426,0.619,0.00239,4,-11.501,0.0722,162.721,0.382
4YMLW13PuuO7o3jkIWlKAs,0.594,0.831,0.544,0.00389,0,-9.288,0.0837,108.177,0.856
4gMgiXfqyzZLMhsksGmbQV,0.0781,0.694,0.394,0.000677,0,-15.881,0.0428,104.126,0.719
1RJeiAIwR9pZBgJA8ndZLL,0.0103,0.505,0.836,0.0771,5,-7.384,0.101,159.669,0.764
4Zau4QvgyxWiWQ5KQrwL43,0.00878,0.504,0.719,0.00149,1,-9.155,0.0431,102.144,0.177
5tVA6TkbaAH9QMITTQRrNv,0.219,0.63,0.449,0.0,5,-13.243,0.0252,84.378,0.623
6NxsCnLeLd8Ai1TrgGxzIx,0.0599,0.647,0.762,3.35e-06,2,-5.856,0.0287,89.837,0.93
3IOQZRcEkplCXg6LofKqE9,0.00349,0.336,0.792,0.00178,9,-10.875,0.0848,155.588,0.425
1JkZg3eMQTmTn93E8Yd3UL,0.78,0.806,0.462,0.0134,2,-12.778,0.0298,92.726,0.736
6zeE5tKyr8Nu882DQhhSQI,0.367,0.475,0.322,0.00056,7,-10.687,0.0283,93.503,0.387
5ghIJDpPoe3CfHMGu71E6T,2.86e-05,0.516,0.906,0.000101,1,-4.525,0.0658,116.775,0.728
