,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
5AFBY6v69AQ7LNvDP6FoYF,0.985,0.363,0.103,0.913,4,-24.615,0.0464,128.458,0.0408
5dr2joHABaJFMr4efo0Xno,0.979,0.0694,0.0317,0.906,8,-24.556,0.039,65.079,0.0395
6gwP8FXI8s3afDOdrrKJc6,0.984,0.62,0.25,0.537,7,-15.482,0.0524,114.044,0.897
0RpL9thfXLVr7X2vLYZ0Lc,0.994,0.269,0.144,0.000618,6,-16.384,0.0458,169.557,0.0412
09Q4PRMLt5z7Xi40syh3yO,0.977,0.348,0.0481,0.794,0,-17.697,0.0403,129.756,0.289
3HbiyuKZ9mjlzvCo0B0iER,0.977,0.435,0.0169,0.567,0,-20.564,0.0473,131.619,0.363
1OiJ3BV2mbMODklbPib6en,0.648,0.568,0.358,0.534,6,-16.973,0.0383,107.122,0.774
681dvJ7hIwPh3Vbbdd1PB8,0.992,0.278,0.0425,0.911,1,-24.648,0.0419,80.615,0.174
4OsiC42qjUTx1QUtyXOOfv,0.994,0.245,0.128,0.9,6,-24.255,0.0398,71.669,0.0979
4EaAn6VXy9uLPfzOcNUerM,0.99,0.107,0.0797,0.403,9,-23.002,0.0406,89.094,0.0574
4acoaqSa5dno7qMFExRG2w,0.989,0.333,0.0195,0.914,8,-26.862,0.0386,68.66,0.0391
0lBWVMS4WHqPAZKsdVRsLK,0.981,0.182,0.118,0.856,0,-21.96,0.049,86.231,0.078
7CJtTvCPzzBiNGsnFVtBg7,0.973,0.0996,0.0527,0.887,9,-24.152,0.0446,80.478,0.0366
6aCz9hL5CUFa9Akw3skA2A,0.982,0.36,0.203,0.877,0,-19.525,0.0486,118.913,0.0814
0Dhb3PfbPS5DTbzsnMW7Mb,0.976,0.254,0.112,0.849,5,-21.405,0.0475,87.668,0.068
3kCdJ9QJ7uxeJbkjfPwqqw,0.975,0.386,0.182,0.754,5,-19.795,0.0432,110.364,0.155
3visRVPuWeEpfkqLOJ4VCE,0.981,0.306,0.0926,0.883,2,-20.541,0.0429,140.176,0.22
0cEn2yVHs3BhYBBPzCwAOw,0.977,0.23,0.0249,0.695,9,-24.607,0.0498,121.153,0.099
0mYfl84kwIB7H0nqhfDehA,0.986,0.412,0.128,0.921,9,-19.191,0.0421,109.154,0.374
7ckOOf5ZfXzN1DfLGkaexz,0.994,0.262,0.0521,0.925,3,-25.832,0.052,93.587,0.114
3HomkQAoZXPDRHOookpgkp,0.975,0.0754,0.0591,0.929,8,-25.755,0.044,78.715,0.0324
0zl9FXaRjLrS7xfDYKuOdA,0.45,0.509,0.329,0.974,1,-14.486,0.0289,79.026,0.282
731EARDaiIkjs8ebpoPFNU,0.922,0.571,0.0539,0.597,0,-21.143,0.0698,123.109,0.24
4ZrPSpXElJCwMp5m3z6ENc,0.863,0.155,0.0379,0.758,1,-25.301,0.0412,89.527,0.0375
3tE7oPaOWFt7MpjSOeB1T2,0.929,0.356,0.0449,0.952,9,-33.636,0.0438,81.631,0.124
0JWImN6fLiUTOFe8vRLRBp,0.81,0.0747,0.0316,0.797,10,-25.979,0.0429,68.279,0.0337
0nDRSEjBS2CiJLxkW7pHXw,0.904,0.21,0.0166,0.57,8,-33.148,0.044,128.677,0.0709
6xUDsVnnA8XKws7rwTgTTb,0.898,0.216,0.108,0.859,0,-22.798,0.0427,89.052,0.0798
1X9YU8fLoFQlUCqMaBRsZ3,0.934,0.52,0.0513,0.925,7,-28.971,0.043,101.977,0.52
5zFqVTkMCCzMCHq1EFxjeU,0.99,0.524,0.186,0.866,10,-21.327,0.0467,113.973,0.46
1oStfg4y3wqWl7FK0SQ7yr,0.962,0.277,0.00769,0.195,2,-30.851,0.0429,127.164,0.103
4TPWKcheI7MceXfOCPuSAG,0.984,0.416,0.014,0.759,7,-21.76,0.0442,134.698,0.337
7MdmKKOMnaCoLcI4xs21Da,0.924,0.104,0.0138,0.263,9,-29.686,0.04,80.864,0.0393
0WWy6s2dZ9mOMjoi6w2GMp,0.962,0.196,0.213,0.903,9,-20.581,0.0354,71.008,0.144
59pHNL0DPR5C8epqzQxnYc,0.844,0.255,0.159,0.912,7,-17.585,0.0419,110.907,0.0741
4dmkWfdCXyjk4tIQFgOn4R,0.851,0.264,0.143,0.832,5,-18.993,0.0405,120.666,0.113
57F471vokslV23uQglkTAo,0.925,0.148,0.109,0.898,1,-20.136,0.0398,138.418,0.0359
2pAzzOHWEWc6lmfI7nUZV1,0.865,0.388,0.226,0.871,4,-16.79,0.0484,90.859,0.151
0P0LAsqiavYc6V54JSeseB,0.849,0.155,0.176,0.818,9,-15.716,0.0374,84.962,0.0372
5kYrcC7Vp0aQlZmNxdEzJE,0.916,0.509,0.303,0.804,0,-14.411,0.0756,80.286,0.524
6dv10gFDnFYIOl8SFxVwK0,0.565,0.066,0.104,0.816,9,-19.937,0.0447,63.826,0.0351
2LR6lZHhpdzlTQsEfiJQaP,0.822,0.28,0.35,0.908,10,-13.378,0.0392,106.269,0.12
2IxOHUlZlxcB8i9wwYr5c1,0.879,0.401,0.216,0.00451,1,-17.448,0.0524,119.193,0.492
7I8O0tOBIMtKUv1UWgg4hF,0.864,0.382,0.376,0.812,7,-14.076,0.0347,158.023,0.21
4XdWS30AuS9vdAnQlVY9Hy,0.771,0.247,0.304,0.167,2,-15.624,0.042,145.517,0.213
7lY6qt63y0Ag5lpHMVglLo,0.959,0.0746,0.0327,0.886,0,-27.191,0.0412,75.083,0.0504
6mmbWSbU5FElQOocyktyUZ,0.914,0.554,0.00761,0.00097,4,-30.566,0.0499,117.276,0.156
184SfXcM1MeC0yQ3dYkfxK,0.973,0.442,0.231,0.896,7,-17.637,0.0362,137.977,0.403
4EZmZOHBnQxDjP0toykJ2I,0.933,0.388,0.0162,0.000331,9,-30.976,0.0463,126.167,0.348
2ZxxfTpu1JjVuwOvqqrZRx,0.957,0.27,0.108,0.505,0,-19.822,0.0435,131.843,0.0796
3jYroQR61dEMaBt51YMJTB,0.93,0.208,0.0779,0.795,5,-18.439,0.0429,75.195,0.0973
2T0d4wna1EMipBasS35A2D,0.969,0.332,0.171,0.496,6,-16.698,0.0583,76.216,0.337
3aRqM6RTAuvQ7po1g4bRl7,0.983,0.12,0.0993,0.939,11,-22.978,0.0461,168.625,0.0583
1Lyf6eFKuaF88gCtNu2bHy,0.99,0.0996,0.0143,0.939,10,-30.664,0.0435,82.832,0.066
5q8MlLNpQsxhaRaTqfqiPO,0.962,0.532,0.219,0.729,5,-21.279,0.0318,155.401,0.776
22HMP9FOmvzFuMH1kcwIhI,0.969,0.621,0.132,1.08e-05,4,-18.962,0.0441,111.4,0.48
6ffFGW5P6eHLgwF2Ka0Nac,0.919,0.486,0.164,0.917,10,-20.854,0.0348,154.233,0.649
2fG62qwiF9L66aRatlZKma,0.885,0.214,0.0818,0.849,0,-23.519,0.0542,168.133,0.166
4LVoopd5yNdGsZBAPwGROi,0.86,0.106,0.0709,0.679,0,-24.831,0.049,67.203,0.0456
76R1bxI4iJ16yOmael92LK,0.926,0.142,0.0667,0.874,9,-25.65,0.049,73.873,0.1
1FrnGtaqKoeCtUwxmB60qW,0.888,0.0738,0.0115,0.0903,5,-31.541,0.046,77.442,0.0371
0dGBBVmdGHYdmRdXOQ3eq2,0.916,0.309,0.187,0.911,7,-20.255,0.042,81.939,0.256
2tG5LMoaTwgSq5s2GElIFy,0.874,0.24,0.222,0.846,10,-19.382,0.0672,65.335,0.093
4w9oPX32R2tyhZNG8DYExq,0.925,0.207,0.0244,0.0532,0,-24.88,0.0373,98.554,0.0774
1u9KxHHO9wDv4sNR2FwBU3,0.99,0.675,0.134,0.119,2,-16.358,0.0481,121.342,0.5
