,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
0cV4xwUA4ue2deqq4CZFko,0.0275,0.616,0.728,0.0,9,-4.02,0.0278,111.934,0.375
539dFCMA8lfEElDPgGpcIB,0.0439,0.683,0.9,0.0,9,-4.422,0.0333,117.036,0.962
1jNNHFZmRGXZFHlil5uhei,0.414,0.443,0.831,0.0,11,-5.606,0.0616,182.064,0.588
48tAdjG4ng2JfECa7OQujk,0.0496,0.511,0.812,1.64e-06,6,-4.763,0.0464,81.992,0.692
1TGJxtVHgPHKVt6K7sPn1T,0.0028,0.608,0.841,0.0,11,-3.626,0.028,106.004,0.917
2YMhrXQYKkm4kXLcXKKd5z,0.0251,0.554,0.743,0.0,9,-6.016,0.0287,72.997,0.673
66pxmg3Jhjm09tHoWR1wVR,0.00916,0.612,0.848,0.0,6,-3.736,0.0368,120.996,0.719
5sjIhQzNljMVrDklI91ezp,0.0158,0.552,0.893,0.0,0,-4.593,0.0383,163.948,0.777
6Ymvlzom4TQeoKqAWsZRD8,0.0697,0.554,0.794,0.0,11,-5.417,0.035,176.01,0.79
7zVCrzzEJU7u24sbJPXA5W,0.00898,0.612,0.799,0.0,10,-4.603,0.0275,125.976,0.687
4dGJf1SER1T6ooX46vwzRB,0.645,0.566,0.713,0.0,6,-4.25,0.0417,169.864,0.807
6wycnu8FWXsj68ig7BEot9,0.606,0.686,0.417,1.79e-06,7,-7.787,0.0363,82.407,0.451
4D4xJ4LyDXBWIf9thFSMAJ,0.0103,0.554,0.903,0.0,8,-3.152,0.0515,112.998,0.419
1mMLMZYXkMueg65jRRWG1l,0.013,0.551,0.801,6.03e-06,6,-5.069,0.0303,128.027,0.625
2cbwF3iVOhzpY7KVzDKWXa,0.0569,0.644,0.741,1.12e-06,9,-5.84,0.0235,102.007,0.693
1dFLowBW25EaL2OC7eKEa2,0.0338,0.653,0.911,0.000659,0,-4.635,0.0439,152.043,0.942
