,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
2jCEQ4ViFk3rkb3zOzi3rS,0.858,0.626,0.252,0.412,5,-11.571,0.036,102.415,0.52
5KQ6uddno2Hht84gJDHsPF,0.592,0.528,0.583,0.0,7,-8.776,0.0644,96.284,0.671
2UiZAyT2L529zh4PuDvH4J,0.589,0.629,0.707,0.625,4,-13.523,0.0449,103.849,0.679
5f2BmZkO1E6lMv0uKxIch8,0.902,0.47,0.441,0.934,1,-14.65,0.0407,115.341,0.719
08rTZ8jNknn8VBS3v2o8pT,0.972,0.439,0.082,0.893,0,-17.066,0.0407,124.69,0.492
5TGGsgsY7WS5Q1w8N581wD,0.886,0.631,0.197,0.000587,0,-15.774,0.0489,87.544,0.67
02M2OoPaKPmkCl7kidq6nK,0.655,0.478,0.33,0.847,5,-13.283,0.036,113.902,0.455
1QxmKMggKPykokcwBYvjso,0.828,0.497,0.317,0.881,8,-15.774,0.0332,127.204,0.17
2N7LJO1uufnSeXIwxooTzg,0.727,0.64,0.417,0.00198,8,-8.852,0.0558,122.918,0.678
1W2bn0bZAHZOJbWyAwsQtd,0.662,0.544,0.466,5.87e-06,11,-17.246,0.138,134.674,0.714
6Ku78IkySXj208dEElgNmg,0.988,0.582,0.0334,0.351,0,-17.875,0.0522,83.424,0.375
32Uv8BRIoXwRALyGX7rqjD,0.987,0.377,0.198,0.9,10,-11.581,0.0327,59.936,0.259
22NMV90OctVoB7ccpNAGt4,0.965,0.594,0.11,2e-05,11,-17.274,0.0702,78.635,0.62
6CW3Rir0LHM0wSaBAgtK1U,0.6,0.533,0.419,0.00806,0,-11.708,0.035,133.292,0.487
7HVyQVKFkFOoNLkZZZZjgb,0.968,0.632,0.113,0.00353,10,-10.091,0.0435,62.8,0.473
3qvl9S6reYxsTGoHjGS8AB,0.883,0.439,0.396,0.0997,5,-13.482,0.0331,149.648,0.822
13LqLLPWy6jtlbqn5RDOGJ,0.957,0.297,0.264,0.931,8,-17.96,0.0373,170.968,0.265
